店名,ジャンル,エリア,Google Map,リンク,行った,個人評価
福天,"ランチ,中華",大濠,https://goo.gl/maps/n1SSvTvdPGM2,http://www.2910.cc/,Yes,★★★★
えぇかげん,"居酒屋,焼き鳥",大濠,https://goo.gl/maps/xqBiYsE7ZjB2,,Yes,★★★★
Toc Toc,"居酒屋,魚料理",大濠,https://goo.gl/maps/NAGy4K3BmNs,,Yes,★★★★
焼肉 大喜,焼き肉,大濠,https://goo.gl/maps/ZBbjAMxooWr,,Yes,★★★★
ホステル スタンドバイミー,立ちのみ,大濠,https://goo.gl/maps/aPDCEnAdd9R2,https://tabelog.com/fukuoka/A4001/A400104/40046081/,Yes,★★★
村崎炊鶏研究所,水炊き,大濠,https://goo.gl/maps/6m65FSCS87y,https://tabelog.com/fukuoka/A4001/A400105/40045494/,Yes,★★★
鉄板酒場スマイル,"居酒屋,鉄板焼き",大濠,https://goo.gl/maps/dTVvZTyhyx12,https://teppan-grill-restaurant-714.business.site/,Yes,★★★
春馬,"居酒屋,焼き鳥",大濠,https://goo.gl/maps/6fgDjYcDHf92,,Yes,★★★
笑うだるま,"エビ料理,ランチ,居酒屋",大濠,https://goo.gl/maps/Lmc5CsnLN8s,,Yes,★★★
トト,"イタリアン,ランチ",大濠,https://goo.gl/maps/rp6Qf5Vatfu,,Yes,★★★
港焼とり本舗,"居酒屋,焼き鳥",大濠,https://goo.gl/maps/5crVmhfndD62,,Yes,★★★
コウタ,居酒屋,大濠,https://goo.gl/maps/i12GEii3PaR2,,Yes,★★★
天ぷら 田井天,"ランチ,天ぷら",大濠,https://goo.gl/maps/LDauqfWqE2s,,Yes,★★★
カジャナ,"インド料理,カレー",大濠,https://goo.gl/maps/9V2K67BaiCH2,,Yes,★★
Treasure House,居酒屋,大濠,https://goo.gl/maps/piKvd2xKDdF2,,Yes,★★
不二家,"ランチ,定食",大濠,https://goo.gl/maps/WfgwtMLUzYq,,Yes,★★
ポンド,"ステーキ,ランチ",大濠,https://goo.gl/maps/TxoBkAPx4Q42,,Yes,★
みんなのイタリアン,"イタリアン,ランチ",大濠,https://goo.gl/maps/wCcHnHsLhNr,,Yes,★
China Garden 平和楼,"ランチ,中華",大濠,https://goo.gl/maps/jXBGJ1YECFx,http://www.heiwarow.co.jp/,Yes,★
らるきい,"イタリアン,ランチ",大濠,https://goo.gl/maps/cSiD91tJ8c82,,No,
igarasi Steak House,"ステーキ,ランチ",大濠,https://goo.gl/maps/n71ka6GdNdS2,,No,
まるごと海,魚料理,大濠,https://goo.gl/maps/CSPwQnGEtdq,,No,
もつ幸,モツ鍋,呉服町,https://goo.gl/maps/r6NbFT3rEjF2,https://tabelog.com/fukuoka/A4001/A400106/40045348/,No,
東方遊酒菜 ヌワラエリヤ,"エスニック,カレー","警固,赤坂",https://goo.gl/maps/tkFMYyMViQ22,https://tunapaha.jp/,Yes,★★★
捏製作所,"居酒屋,日本酒バー","藤崎,西新",https://goo.gl/maps/Gxj6dy8iKCp,https://www.facebook.com/%E6%8D%8F%E8%A3%BD%E4%BD%9C%E6%89%80-877345802356207/,Yes,★★★★
天神焼肉 tHe Good MoR~Ning,"居酒屋,焼き肉","今泉,天神",https://goo.gl/maps/ddN1cvBVVKz,https://hitosara.com/0006114250/,Yes,★★★
博多炉端 魚男 FISHMAN,"居酒屋,魚料理","今泉,天神",https://goo.gl/maps/4M8PRcT2d3n,https://tabelog.com/fukuoka/A4001/A400104/40006960/,No,
シェーキーズ,"ピザ,食べ放題",祇園,https://goo.gl/maps/ssbfkeWM2Sr,,Yes,★
やっぱりステーキ 親不孝通り店,焼き肉,天神,https://goo.gl/maps/kpo8HCnrLWp,,No,